VMRO-DPMNE,municipality,municipality_id,SDSM
19.261,Aerodrom,3,15.919
84,Arachinovo,4,2.909
3.260,Berovo,5,3.432
21.612,Bitola,6,21.327
1.838,Bogdanci,7,1.958
53,Bogovinje,8,4.450
3.440,Bosilovo,9,2.963
2.124,Brvenica,10,2.902
7.547,Butel,11,7.569
9.437,Centar,75,13.967
412,Centar Zhupa,76,844
3.564,Chair,77,15.503
1.236,Chashka,78,1.999
2.113,Cheshinovo - Obleshevo,79,1.340
990,Chucher-Sandevo,80,1.807
793,Debar,23,4.231
1.304,Debarca,24,1.222
4.119,Delchevo,25,4.168
2.345,Demir Hisar,27,2.393
1.254,Demir Kapija,26,1.070
448,DKP,3641,366
861,Dojran,28,903
1.496,Dolneni,29,3.508
18.085,Gazi Baba,18,12.177
6.734,Gevgelija,19,6.094
10.881,Gjorche Petrov,20,8.617
5.262,Gostivar,21,13.263
1.054,Gradsko,22,856
5.313,Ilinden,33,2.203
1.795,Jegunovce,34,2.034
1.054,Karbinci,36,905
13.531,Karposh,37,16.052
11.065,Kavadarci,35,8.695
7.114,Kichevo,39,10.040
17.243,Kisela Voda,38,11.697
8.981,Kochani,41,7.931
718,Konche,40,925
2.953,Kratovo,42,1.999
5.513,Kriva Palanka,43,6.063
1.728,Krivogashtani,44,1.277
2.117,Krushevo,45,3.127
17.572,Kumanovo,46,21.872
44,Lipkovo,47,6.543
745,Lozovo,48,589
2.146,Makedonska Kamenica,50,1.521
1.872,Makedonski Brod,51,1.632
936,Mavrovo i Rostushe,49,1.847
1.902,Mogila,52,1.302
5.617,Negotino,53,4.840
1.067,Novaci,54,881
3.208,Novo Selo,55,2.517
15.127,Ohrid,56,14.108
1.395,Pehchevo,58,1.183
2.361,Petrovec,57,1.636
334,Plasnica,59,826
20.147,Prilep,60,18.567
4.561,Probishtip,61,3.471
5.441,Radovish,62,5.518
1.002,Rankovce,63,1.027
3.367,Resen,64,4.189
1.295,Rosoman,65,944
584,Saraj,66,8.067
12.879,Shtip,81,10.711
2.434,Shuto Orizari,82,4.003
1.479,Sopishte,68,1.059
929,Staro Nagorichane,69,791
5.808,Struga,70,12.112
11.723,Strumica,71,14.659
359,Studenichani,72,4.445
5.527,Sveti Nikole,67,3.560
916,Tearce,73,4.415
6.400,Tetovo,74,16.544
3.195,Valandovo,12,2.823
2.919,Vasilevo,13,2.885
13.285,Veles,15,10.454
755,Vevchani,14,565
5.121,Vinica,16,3.408
379,Vrapchishte,17,4.399
1.011,Zelenikovo,31,947
54,Zhelino,30,3.682
818,Zrnovci,32,409
